lambda       C_ext/H       K_abs
(micron)     (cm^2/H)     (cm^2/g)
---------    ---------    --line-------
1.000E-03    1.190E-22    2.131E+03
1.006E-03    1.203E-22    2.159E+03
1.012E-03    1.216E-22    2.188E+03
1.017E-03    1.229E-22    2.216E+03
1.023E-03    1.240E-22    2.245E+03
1.029E-03    1.253E-22    2.274E+03
1.035E-03    1.265E-22    2.303E+03
1.041E-03    1.276E-22    2.331E+03
1.047E-03    1.287E-22    2.360E+03
1.053E-03    1.299E-22    2.389E+03
1.059E-03    1.310E-22    2.419E+03
1.065E-03    1.321E-22    2.449E+03
1.072E-03    1.333E-22    2.479E+03
1.078E-03    1.345E-22    2.510E+03
1.084E-03    1.355E-22    2.541E+03
1.090E-03    1.367E-22    2.572E+03
1.096E-03    1.378E-22    2.604E+03
1.103E-03    1.388E-22    2.636E+03
1.109E-03    1.399E-22    2.668E+03
1.116E-03    1.411E-22    2.700E+03
1.122E-03    1.422E-22    2.732E+03
1.128E-03    1.431E-22    2.765E+03
1.135E-03    1.443E-22    2.799E+03
1.142E-03    1.455E-22    2.833E+03
1.148E-03    1.464E-22    2.867E+03
1.155E-03    1.476E-22    2.901E+03
1.161E-03    1.488E-22    2.936E+03
1.168E-03    1.499E-22    2.971E+03
1.175E-03    1.508E-22    3.006E+03
1.182E-03    1.520E-22    3.041E+03
1.189E-03    1.531E-22    3.076E+03
1.195E-03    1.540E-22    3.111E+03
1.202E-03    1.551E-22    3.146E+03
1.209E-03    1.562E-22    3.181E+03
1.216E-03    1.573E-22    3.216E+03
1.223E-03    1.581E-22    3.251E+03
1.230E-03    1.592E-22    3.286E+03
1.237E-03    1.603E-22    3.321E+03
1.245E-03    1.610E-22    3.358E+03
1.252E-03    1.621E-22    3.395E+03
1.259E-03    1.633E-22    3.433E+03
1.266E-03    1.644E-22    3.471E+03
1.274E-03    1.651E-22    3.509E+03
1.281E-03    1.662E-22    3.547E+03
1.288E-03    1.672E-22    3.585E+03
1.296E-03    1.679E-22    3.623E+03
1.303E-03    1.690E-22    3.661E+03
1.311E-03    1.701E-22    3.700E+03
1.318E-03    1.707E-22    3.739E+03
1.326E-03    1.718E-22    3.778E+03
1.334E-03    1.729E-22    3.818E+03
1.341E-03    1.739E-22    3.858E+03
1.349E-03    1.745E-22    3.898E+03
1.357E-03    1.754E-22    3.938E+03
1.365E-03    1.764E-22    3.979E+03
1.372E-03    1.769E-22    4.019E+03
1.380E-03    1.778E-22    4.060E+03
1.388E-03    1.787E-22    4.101E+03
1.396E-03    1.795E-22    4.143E+03
1.404E-03    1.798E-22    4.184E+03
1.413E-03    1.805E-22    4.226E+03
1.421E-03    1.813E-22    4.268E+03
1.429E-03    1.815E-22    4.310E+03
1.437E-03    1.821E-22    4.351E+03
1.445E-03    1.815E-22    4.394E+03
1.454E-03    1.805E-22    4.236E+03
1.462E-03    1.816E-22    4.278E+03
1.471E-03    1.830E-22    4.321E+03
1.479E-03    1.844E-22    4.364E+03
1.488E-03    1.852E-22    4.407E+03
1.496E-03    1.864E-22    4.450E+03
1.505E-03    1.875E-22    4.493E+03
1.514E-03    1.885E-22    4.537E+03
1.522E-03    1.890E-22    4.581E+03
1.531E-03    1.900E-22    4.625E+03
1.540E-03    1.908E-22    4.669E+03
1.549E-03    1.912E-22    4.713E+03
1.558E-03    1.920E-22    4.758E+03
1.567E-03    1.928E-22    4.803E+03
1.576E-03    1.935E-22    4.847E+03
1.585E-03    1.937E-22    4.892E+03
1.594E-03    1.943E-22    4.937E+03
1.603E-03    1.949E-22    4.982E+03
1.613E-03    1.949E-22    5.027E+03
1.622E-03    1.954E-22    5.072E+03
1.631E-03    1.958E-22    5.117E+03
1.641E-03    1.958E-22    5.162E+03
1.650E-03    1.961E-22    5.206E+03
1.660E-03    1.961E-22    5.252E+03
1.669E-03    1.959E-22    5.297E+03
1.679E-03    1.949E-22    5.343E+03
1.688E-03    1.934E-22    5.389E+03
1.698E-03    1.914E-22    5.435E+03
1.708E-03    1.839E-22    5.481E+03
1.718E-03    1.571E-22    3.918E+03
1.728E-03    1.646E-22    3.959E+03
1.738E-03    1.694E-22    4.001E+03
1.748E-03    1.738E-22    4.043E+03
1.758E-03    1.780E-22    4.085E+03
1.768E-03    1.820E-22    4.128E+03
1.778E-03    1.846E-22    4.170E+03
1.789E-03    1.868E-22    4.211E+03
1.799E-03    1.890E-22    4.254E+03
1.809E-03    1.910E-22    4.297E+03
1.820E-03    1.930E-22    4.341E+03
1.830E-03    1.950E-22    4.385E+03
1.841E-03    1.969E-22    4.430E+03
1.851E-03    1.987E-22    4.475E+03
1.862E-03    2.005E-22    4.521E+03
1.873E-03    2.021E-22    4.567E+03
1.884E-03    2.038E-22    4.613E+03
1.895E-03    2.054E-22    4.660E+03
1.905E-03    2.069E-22    4.706E+03
1.916E-03    2.085E-22    4.752E+03
1.928E-03    2.103E-22    4.797E+03
1.939E-03    2.119E-22    4.843E+03
1.950E-03    2.134E-22    4.890E+03
1.961E-03    2.148E-22    4.937E+03
1.972E-03    2.163E-22    4.985E+03
1.984E-03    2.176E-22    5.032E+03
1.995E-03    2.188E-22    5.080E+03
2.007E-03    2.201E-22    5.128E+03
2.018E-03    2.211E-22    5.176E+03
2.030E-03    2.221E-22    5.225E+03
2.042E-03    2.231E-22    5.273E+03
2.054E-03    2.241E-22    5.322E+03
2.065E-03    2.249E-22    5.370E+03
2.077E-03    2.256E-22    5.419E+03
2.089E-03    2.263E-22    5.469E+03
2.101E-03    2.268E-22    5.519E+03
2.113E-03    2.272E-22    5.569E+03
2.126E-03    2.277E-22    5.619E+03
2.138E-03    2.279E-22    5.669E+03
2.150E-03    2.281E-22    5.719E+03
2.163E-03    2.284E-22    5.769E+03
2.175E-03    2.285E-22    5.819E+03
2.188E-03    2.285E-22    5.869E+03
2.200E-03    2.285E-22    5.919E+03
2.213E-03    2.285E-22    5.969E+03
2.226E-03    2.284E-22    6.018E+03
